source,target,avg_finished_duration,avg_finished_path_length,avg_rating,failure_rate,avg_unfinished_duration,avg_unfinished_path_length,difficulty_score,shortest_path_length,semantic_distance
Aristotle,Food,108.5,5.33,2.0,0.45,133.2,3.0,0.16,3.0,0.44
Aristotle,Rugby_World_Cup,302.0,9.0,,0.5,169.0,8.0,0.24,3.0,0.48
Aristotle,List_of_vegetable_oils,509.0,20.0,,0.0,,,0.28,4.0,0.46
Aristotle,Music_of_the_United_States,129.0,4.0,3.0,0.0,,,0.06,3.0,0.47
Aristotle,James_Monroe,136.5,6.75,3.0,0.0,,,0.09,4.0,0.45
Aristotle,Claudius,72.0,8.0,2.0,0.0,,,0.08,3.0,0.35
Arithmetic,American_Civil_War,102.75,4.75,1.0,0.0,,,0.06,3.0,0.4
Arithmetic,Wellington,66.0,6.0,2.0,0.0,,,0.06,3.0,0.46
Arithmetic,Folk_music,44.0,7.0,,0.0,,,0.07,3.0,0.45
Arithmetic,Moon,62.0,5.33,3.25,0.1,48.0,2.0,0.08,2.0,0.43
Arithmetic,Shinto,62.5,7.5,,0.0,,,0.08,3.0,0.44
Arithmetic,Natural_selection,60.0,5.0,2.0,0.0,,,0.05,3.0,0.47
Arithmetic,Cambodia,42.5,4.5,,0.0,,,0.05,2.0,0.44
Art,Batman,98.0,6.0,,0.0,,,0.07,3.0,0.41
Art,Nature,57.0,4.0,1.0,0.0,,,0.05,2.0,0.3
Art,Robinson_Crusoe,42.0,4.0,1.0,0.0,,,0.04,3.0,0.48
Art,Bacteria,287.0,6.5,2.5,0.0,,,0.12,3.0,0.43
Art,Byzantine_Empire,102.67,4.0,,0.25,75.0,2.0,0.11,2.0,0.48
Art,United_States_Constitution,105.2,5.4,1.0,0.17,21.0,2.0,0.1,2.0,0.43
Art,All_Blacks,118.0,4.0,3.0,0.0,,,0.06,3.0,0.46
Art,Celtic_Park,68.0,5.5,2.0,0.0,,,0.06,4.0,0.45
Art,Double_bass,64.56,5.11,1.8,0.18,107.0,7.0,0.09,3.0,0.44
Art,Mango,219.39,7.74,2.75,0.28,131.83,4.58,0.17,2.0,0.43
ASCII,Education_in_the_United_States,191.75,10.5,2.0,0.2,65.0,5.0,0.17,3.0,0.43
ASCII,Western_Roman_Empire,140.0,8.0,3.0,0.0,,,0.1,3.0,0.47
ASCII,Trigonometry,36.0,3.0,,0.0,,,0.03,2.0,0.46
ASCII,Swastika,198.78,7.89,3.5,0.1,30.0,3.0,0.13,4.0,0.44
ASCII,H.D.,185.0,9.0,4.0,0.5,58.0,4.0,0.21,4.0,0.49
ASCII,Avacha_Volcano,232.0,10.5,4.5,0.5,197.5,8.5,0.24,5.0,0.44
ASCII,Netherlands_Antilles,25.0,4.0,2.0,0.0,,,0.04,3.0,0.47
ASCII,"September_11,_2001_attacks",180.0,12.0,,0.67,128.0,4.0,0.27,3.0,0.46
ASCII,Milk,152.71,6.86,3.0,0.22,72.0,3.0,0.13,4.0,0.47
ASCII,Parthenon,162.5,7.17,3.0,0.25,45.0,2.5,0.14,4.0,0.42
ASCII,Ramesses_II,155.5,8.67,2.5,0.14,39.0,3.0,0.13,4.0,0.5
Asia,China,27.0,3.0,,0.0,,,0.03,1.0,0.17
Asia,Human,28.0,4.0,2.0,0.0,,,0.04,2.0,0.43
Asia,Mammal,61.0,10.0,,0.0,,,0.1,2.0,0.42
Asia,Ichthyosaur,80.0,4.0,,0.0,,,0.05,3.0,0.48
Asia,Neil_Armstrong,90.0,5.75,2.5,0.2,70.0,3.0,0.11,3.0,0.45
Asia,Quantum_chemistry,83.0,6.0,,0.0,,,0.07,3.0,0.46
Asia,European_Union,18.0,4.0,1.0,0.0,,,0.04,1.0,0.42
Asia,Arctic,22.0,4.0,1.0,0.0,,,0.04,2.0,0.35
Asia,Semiconductor_device,58.0,4.0,,0.0,,,0.05,3.0,0.44
Asia,J._M._W._Turner,312.0,7.0,3.0,0.5,142.0,6.0,0.23,3.0,0.5
